comment,sentiment,source
The technology along with the subunit-vaccine technology has helped us to eradicate and control many diseases. The vaccines made by this technology (inactivated vaccines and subunit vaccines) have been administered to billions of people safely.,positive,Quora
"I am not sure why the most developed countries of the world have chosen to rely on newer non-time-tested technologies of viral-vector vaccine and especially the genetic-vaccine technology, which has never been used previously.",negative,Quora
As on date - Covaxin has the GREATEST ADVANTAGE over COVISHIELD,positive,Quora
Covaxins Chemicals are almost entirely available for manufacture,positive,Quora
"Simply, there is not enough data. For that matter, no single vaccine is proved to be the best.",negative,Quora
Both AstraZeneca and Johnson & Johnson vaccines are known to cause blood clots in rare cases,negative,Quora
My Mother age 62 got Covaxin. No side effects,positive,Quora
"I (age 29) got Covishield. Got all side effects : Fever, headache, nausea, body aches. Lasted 1.5 days",negative,Quora
My Brother (age 32) got Covishield: No side-effects,positive,Quora
My neighbor (age 20) got Covaxin: Mild side-effects. Lasted 1 day,negative,Quora
My Neighbor’s mother (age 47) got Covishield : no Side effects,positive,Quora
"My colleague (age 35, in US) got Pfizer : 0 side-effects",positive,Quora
Her parents got Pfizer too: Heavy side-effects. Lasted 1/2 day,negative,Quora
"The one in your arm! Get vaccinated as soon as possible. For your own sake, AND for the sake of those who cannot get vaccinated.",positive,Quora
No vaccine has a 100% guarantee,negative,Quora
In terms of efficacy the vaccines developed by Pfizer and Moderna are much higher than their counterparts. ,positive,Quora
No vaccine has 100 % efficacy nor any vaccine has very long effective period,negative,Quora
There are concerns vaccines may not work quite so well against some variants.,negative,Quora
I can’t think of any valid reason as to why I would choose to get the COVID-19 vaccine.,negative,Quora
"Vaccine doesn’t prevent infection, sars-coV-2.",negative,Quora
Because I can read and I used my reading skills to read the fact sheet and the studies that show the “efficacy.” I was not impressed.,negative,Quora
 the vaccine should be proven as highly safe before you take it but the Corona vaccines are not at all in the safe zone.,negative,Quora
Don’t trust the Covid19 vaccines as they are NOT safe. Don’t take any Covid19 vaccine for they ain’t safe.,negative,Quora
Look at the horrible symptoms and consequences of taking a vaccine. A lot of people have died from taking the Corona vaccine. Numbers are a lot higher than what is seen.,negative,Quora
VACCINE CAN NOT GIVE TOTAL PROTECTION AGAINST COVID 19 BUT ARE USED TO INCRAESE IMMUNITY POWER.,positive,Quora
BEACUSE VACCINES ARE GAINING TRUST AND I KNOW THIS VACCINES HAVE VERY SIDEEFFECTS BUT IT DOES NOT MEAN THAT VACCINE IS NOT USABLE.,positive,Quora
 Animal trials with the previous mRNA vaccines all ended with the animals dying from exposure to the ‘wild virus’.,negative,Quora
"Everybody needs to be vaccinated, so we can finally take our masks off, and the rest of us can get back to work",positive,Quora
I would choose to take the vaccine as there is to my mind sufficient evidence to confirm that the virus and the infection that it causes exists.,positive,Quora
"Not all COVID-19 patients need to be hospitalized. But that doesn’t mean you don’t need the vaccine. This is important because the disease can badly damage your vital organs like the heart, lungs, and brain.",positive,Quora
The vaccine helps prevent severe disease and complications .,positive,Quora
"A vaccine is also necessary to protect the people around you. Even if the virus does not make you ill, you could still pass it on to someone around you, who might have to fight a severe battle against the disease",positive,Quora
"Once you are fully vaccinated, you can meet other people too who are vaccinated.",positive,Quora
"If you are vaccinated, you are less likely to pass the infection to others.",positive,Quora
The vaccine creates antibodies and keeps you safeguarded against COVID-19.,positive,Quora
"By getting vaccinated, you are helping in the fight to stop the pandemic.",positive,Quora
I’m aware that the risk to me of using any vaccine is FAR TINIER than the risk to me from the disease if I DON’T get the vaccine,positive,Quora
" I want to protect myself as well as others . I don’t want to transmit it to others , for one thing, and as soon as many people can get vaccinated , there can be be some type of herd immunity which will protect others who cannot vaccinated .",positive,Quora
"Even with the newer variants , these vaccines seem to work right now , and the more people that can get vaccinated quickly , the fewer hosts will exist where the virus mutates to possibly a more contagious form .",positive,Quora
"I consider it a social responsibility to get vaccinated , for the safety of others as well as myself .",positive,Quora
All COVID-19 antibodies right now accessible in the United States have been demonstrated to be protected and compelling at forestalling COVID-19.,positive,Quora
"Because I don’t want to die or potentially cause other people to die from passing on what, thanks to these vaccines, will soon be an entirely preventable illness.",positive,Quora
Because I want to be able to see my friends and family again.,positive,Quora
Because I want to be able to go to concerts and sports events and theatres and restaurants again.,positive,Quora
Because I want to be able to travel again.,positive,Quora
"Because I do not want to die horribly, have to be hospitalized for long periods of time on a ventilator, or have long-term disabling chronic conditions like so many people who had COVID-19.",positive,Quora
By getting vaccinated we reduce the number of us who can carry and spread it. Vaccinations is what eliminated smallpox.,positive,Quora
"The vaccines are safe and effective. So why WOULDN’T I get it? It’s for my health and the health and lives of my family, friends and neighbours.",positive,Quora
"To protect yourself and others, and to help end the pandemic.",positive,Quora
Because I don’t want to die in a hospital bed being on a ventilator.,positive,Quora
I am going to get vaccinated because as a citizens of my country it is my duty to protect my fellow country men from getting sick from covid 19,positive,WHO
"Getting the vaccine will greatly diminish the chance that you will get Covid. It will also eliminate the chance that if you get covid-19, it will not be serious enough to put you in the hospital.",positive,WHO
